日期时间,节点电价,电能价格,阻塞价格,补全标识
2024-01-01 00:00:00,191.026,226.252,-35.226,0
2024-01-01 00:15:00,184.259,218.237,-33.978,0
2024-01-01 00:30:00,183.78900000000002,217.68,-33.891,0
2024-01-01 00:45:00,183.486,217.322,-33.836,0
2024-01-01 01:00:00,188.893,223.726,-34.833,0
2024-01-01 01:15:00,184.259,218.237,-33.978,0
2024-01-01 01:30:00,191.027,226.253,-35.226,0
2024-01-01 01:45:00,211.541,244.118,-32.577,0
2024-01-01 02:00:00,264.69800000000004,288.968,-24.27,0
2024-01-01 02:15:00,281.954,306.034,-24.08,0
2024-01-01 02:30:00,311.36800000000005,328.345,-16.977,0
2024-01-01 02:45:00,347.73699999999997,355.717,-7.98,0
2024-01-01 03:00:00,371.58000000000004,376.136,-4.556,0
2024-01-01 03:15:00,388.759,390.0,-1.241,0
2024-01-01 03:30:00,400.0,400.0,0.0,0
2024-01-01 03:45:00,391.969,391.969,0.0,0
2024-01-01 04:00:00,378.759,380.0,-1.241,0
2024-01-01 04:15:00,388.759,390.0,-1.241,0
2024-01-01 04:30:00,400.0,400.0,0.0,0
2024-01-01 04:45:00,400.0,400.0,0.0,0
2024-01-01 05:00:00,400.0,400.0,0.0,0
2024-01-01 05:15:00,400.0,400.0,0.0,0
2024-01-01 05:30:00,420.0,420.0,0.0,0
2024-01-01 05:45:00,420.0,420.0,0.0,0
2024-01-01 06:00:00,420.0,420.0,0.0,0
2024-01-01 06:15:00,420.0,420.0,0.0,0
2024-01-01 06:30:00,410.0,410.0,0.0,0
2024-01-01 06:45:00,420.0,420.0,0.0,0
2024-01-01 07:00:00,420.0,420.0,0.0,0
2024-01-01 07:15:00,420.0,420.0,0.0,0
2024-01-01 07:30:00,420.0,420.0,0.0,0
2024-01-01 07:45:00,420.0,420.0,0.0,0
2024-01-01 08:00:00,450.0,450.0,0.0,0
2024-01-01 08:15:00,420.0,420.0,0.0,0
2024-01-01 08:30:00,430.0,430.0,0.0,0
2024-01-01 08:45:00,440.0,440.0,0.0,0
2024-01-01 09:00:00,420.0,420.0,0.0,0
2024-01-01 09:15:00,420.0,420.0,0.0,0
2024-01-01 09:30:00,420.0,420.0,0.0,0
2024-01-01 09:45:00,400.0,400.0,0.0,0
2024-01-01 10:00:00,400.0,400.0,0.0,0
2024-01-01 10:15:00,420.0,420.0,0.0,0
2024-01-01 10:30:00,380.0,380.0,0.0,0
2024-01-01 10:45:00,430.0,430.0,0.0,0
2024-01-01 11:00:00,400.0,400.0,0.0,0
2024-01-01 11:15:00,380.0,380.0,0.0,0
2024-01-01 11:30:00,370.0,370.0,0.0,0
2024-01-01 11:45:00,305.61,305.61,0.0,0
2024-01-01 12:00:00,0.0,0.0,0.0,0
2024-01-01 12:15:00,0.0,0.0,0.0,0
2024-01-01 12:30:00,0.0,0.0,0.0,0
2024-01-01 12:45:00,0.0,0.0,0.0,0
2024-01-01 13:00:00,0.0,0.0,0.0,0
2024-01-01 13:15:00,0.0,0.0,0.0,0
2024-01-01 13:30:00,0.0,0.0,0.0,0
2024-01-01 13:45:00,0.0,0.0,0.0,0
2024-01-01 14:00:00,0.0,0.0,0.0,0
2024-01-01 14:15:00,0.0,0.0,0.0,0
2024-01-01 14:30:00,0.0,0.0,0.0,0
2024-01-01 14:45:00,1.0,1.0,0.0,0
2024-01-01 15:00:00,276.807,276.807,0.0,0
2024-01-01 15:15:00,280.0,280.0,0.0,0
2024-01-01 15:30:00,380.0,380.0,0.0,0
2024-01-01 15:45:00,420.0,420.0,0.0,0
2024-01-01 16:00:00,480.0,480.0,0.0,0
2024-01-01 16:15:00,520.0,520.0,0.0,0
2024-01-01 16:30:00,520.0,520.0,0.0,0
2024-01-01 16:45:00,550.0,550.0,0.0,0
2024-01-01 17:00:00,570.0,570.0,0.0,0
2024-01-01 17:15:00,560.0,560.0,0.0,0
2024-01-01 17:30:00,600.0,600.0,0.0,0
2024-01-01 17:45:00,600.0,600.0,0.0,0
2024-01-01 18:00:00,600.0,600.0,0.0,0
2024-01-01 18:15:00,600.0,600.0,0.0,0
2024-01-01 18:30:00,600.0,600.0,0.0,0
2024-01-01 18:45:00,570.0,570.0,0.0,0
2024-01-01 19:00:00,550.0,550.0,0.0,0
2024-01-01 19:15:00,510.0,510.0,0.0,0
2024-01-01 19:30:00,500.0,500.0,0.0,0
2024-01-01 19:45:00,490.0,490.0,0.0,0
2024-01-01 20:00:00,442.024,450.629,-8.605,0
2024-01-01 20:15:00,430.068,440.0,-9.932,0
2024-01-01 20:30:00,407.585,420.0,-12.415,0
2024-01-01 20:45:00,415.761,425.064,-9.303,0
2024-01-01 21:00:00,370.0,388.774,-18.774,0
2024-01-01 21:15:00,370.0,389.295,-19.295,0
2024-01-01 21:30:00,370.0,386.839,-16.839,0
2024-01-01 21:45:00,370.0,385.461,-15.461,0
2024-01-01 22:00:00,365.102,380.0,-14.898,0
2024-01-01 22:15:00,380.141,390.0,-9.859,0
2024-01-01 22:30:00,336.854,350.0,-13.146,0
2024-01-01 22:45:00,227.95100000000002,259.956,-32.005,0
2024-01-01 23:00:00,281.954,306.034,-24.08,0
2024-01-01 23:15:00,183.442,222.167,-38.725,0
2024-01-01 23:30:00,227.265,257.385,-30.12,0
2024-01-01 23:45:00,335.84999999999997,345.143,-9.293,0
2024-01-02 00:00:00,342.002,350.0,-7.998,0
2024-01-02 00:15:00,331.575,339.132,-7.557,0
2024-01-02 00:30:00,345.034,350.0,-4.966,0
2024-01-02 00:45:00,367.517,370.0,-2.483,0
2024-01-02 01:00:00,380.0,380.0,0.0,0
2024-01-02 01:15:00,390.0,390.0,0.0,0
2024-01-02 01:30:00,380.0,380.0,0.0,0
2024-01-02 01:45:00,390.0,390.0,0.0,0
2024-01-02 02:00:00,400.0,400.0,0.0,0
2024-01-02 02:15:00,390.0,390.0,0.0,0
2024-01-02 02:30:00,372.557,374.483,-1.926,0
2024-01-02 02:45:00,363.73900000000003,366.639,-2.9,0
2024-01-02 03:00:00,286.344,300.0,-13.656,0
2024-01-02 03:15:00,151.123,183.025,-31.902,0
2024-01-02 03:30:00,178.899,211.889,-32.99,0
2024-01-02 03:45:00,178.899,211.889,-32.99,0
2024-01-02 04:00:00,278.895,300.0,-21.105,0
2024-01-02 04:15:00,264.69800000000004,288.968,-24.27,0
2024-01-02 04:30:00,285.92900000000003,305.73,-19.801,0
2024-01-02 04:45:00,168.29600000000002,203.824,-35.528,0
2024-01-02 05:00:00,277.774,300.0,-22.226,0
2024-01-02 05:15:00,303.159,320.0,-16.841,0
2024-01-02 05:30:00,365.034,370.0,-4.966,0
2024-01-02 05:45:00,400.0,400.0,0.0,0
2024-01-02 06:00:00,400.0,400.0,0.0,0
2024-01-02 06:15:00,400.0,400.0,0.0,0
2024-01-02 06:30:00,400.0,400.0,0.0,0
2024-01-02 06:45:00,410.0,410.0,0.0,0
2024-01-02 07:00:00,420.0,420.0,0.0,0
2024-01-02 07:15:00,420.0,420.0,0.0,0
2024-01-02 07:30:00,405.395,406.534,-1.139,0
2024-01-02 07:45:00,390.08,398.483,-8.403,0
2024-01-02 08:00:00,213.407,248.473,-35.066,0
2024-01-02 08:15:00,218.358,248.672,-30.314,0
2024-01-02 08:30:00,218.10500000000002,252.549,-34.444,0
2024-01-02 08:45:00,213.632,246.362,-32.73,0
2024-01-02 09:00:00,183.542,217.386,-33.844,0
2024-01-02 09:15:00,209.487,231.631,-22.144,0
2024-01-02 09:30:00,137.554,137.554,0.0,0
2024-01-02 09:45:00,0.524,0.524,0.0,0
2024-01-02 10:00:00,0.0,0.0,0.0,0
2024-01-02 10:15:00,0.0,0.0,0.0,0
2024-01-02 10:30:00,0.0,0.0,0.0,0
2024-01-02 10:45:00,0.0,0.0,0.0,0
2024-01-02 11:00:00,0.0,0.0,0.0,0
2024-01-02 11:15:00,0.0,0.0,0.0,0
2024-01-02 11:30:00,0.0,0.0,0.0,0
2024-01-02 11:45:00,0.0,0.0,0.0,0
2024-01-02 12:00:00,0.0,0.0,0.0,0
2024-01-02 12:15:00,0.0,0.0,0.0,0
2024-01-02 12:30:00,0.0,0.0,0.0,0
2024-01-02 12:45:00,0.0,0.0,0.0,0
2024-01-02 13:00:00,0.0,0.0,0.0,0
2024-01-02 13:15:00,0.0,0.0,0.0,0
2024-01-02 13:30:00,0.0,0.0,0.0,0
2024-01-02 13:45:00,0.0,0.0,0.0,0
2024-01-02 14:00:00,0.0,0.0,0.0,0
2024-01-02 14:15:00,0.0,0.0,0.0,0
2024-01-02 14:30:00,0.0,0.0,0.0,0
2024-01-02 14:45:00,0.0,0.0,0.0,0
2024-01-02 15:00:00,0.0,0.0,0.0,0
2024-01-02 15:15:00,0.0,0.0,0.0,0
2024-01-02 15:30:00,0.0,0.0,0.0,0
2024-01-02 15:45:00,0.0,0.0,0.0,0
2024-01-02 16:00:00,0.8260000000000001,1.0,-0.174,0
2024-01-02 16:15:00,137.38,166.384,-29.004,0
2024-01-02 16:30:00,175.15900000000002,212.139,-36.98,0
2024-01-02 16:45:00,247.549,275.43,-27.881,0
2024-01-02 17:00:00,188.898,228.778,-39.88,0
2024-01-02 17:15:00,199.70499999999998,241.867,-42.162,0
2024-01-02 17:30:00,218.168,260.0,-41.832,0
2024-01-02 17:45:00,262.60299999999995,297.84,-35.237,0
2024-01-02 18:00:00,336.412,360.0,-23.588,0
2024-01-02 18:15:00,359.791,380.0,-20.209,0
2024-01-02 18:30:00,387.467,400.63,-13.163,0
2024-01-02 18:45:00,394.05899999999997,404.655,-10.596,0
2024-01-02 19:00:00,388.826,400.0,-11.174,0
2024-01-02 19:15:00,388.826,400.0,-11.174,0
2024-01-02 19:30:00,387.585,400.0,-12.415,0
2024-01-02 19:45:00,388.826,400.0,-11.174,0
2024-01-02 20:00:00,365.102,380.0,-14.898,0
2024-01-02 20:15:00,369.17199999999997,383.621,-14.449,0
2024-01-02 20:30:00,367.467,380.63,-13.163,0
2024-01-02 20:45:00,354.839,368.555,-13.716,0
2024-01-02 21:00:00,396.295,400.0,-3.705,0
2024-01-02 21:15:00,378.027,384.077,-6.05,0
2024-01-02 21:30:00,397.517,400.0,-2.483,0
2024-01-02 21:45:00,396.714,400.0,-3.286,0
2024-01-02 22:00:00,400.0,400.0,0.0,0
2024-01-02 22:15:00,400.0,400.0,0.0,0
2024-01-02 22:30:00,400.0,400.0,0.0,0
2024-01-02 22:45:00,400.0,400.0,0.0,0
2024-01-02 23:00:00,400.0,400.0,0.0,0
2024-01-02 23:15:00,390.0,390.0,0.0,0
2024-01-02 23:30:00,380.0,380.0,0.0,0
2024-01-02 23:45:00,380.0,380.0,0.0,0
2024-01-03 00:00:00,380.0,380.0,0.0,0
2024-01-03 00:15:00,390.0,390.0,0.0,0
2024-01-03 00:30:00,380.0,380.0,0.0,0
2024-01-03 00:45:00,390.0,390.0,0.0,0
2024-01-03 01:00:00,378.367,378.367,0.0,0
2024-01-03 01:15:00,385.474,385.474,0.0,0
2024-01-03 01:30:00,380.542,380.542,0.0,0
2024-01-03 01:45:00,380.542,380.542,0.0,0
2024-01-03 02:00:00,368.758,370.0,-1.242,0
2024-01-03 02:15:00,370.0,372.209,-2.209,0
2024-01-03 02:30:00,371.59700000000004,373.629,-2.032,0
2024-01-03 02:45:00,310.068,320.0,-9.932,0
2024-01-03 03:00:00,234.48900000000003,258.29,-23.801,0
2024-01-03 03:15:00,234.48499999999999,258.342,-23.857,0
2024-01-03 03:30:00,178.895,211.887,-32.992,0
2024-01-03 03:45:00,176.03799999999998,208.503,-32.465,0
2024-01-03 04:00:00,178.895,211.887,-32.992,0
2024-01-03 04:15:00,178.894,211.886,-32.992,0
2024-01-03 04:30:00,178.895,211.887,-32.992,0
2024-01-03 04:45:00,178.894,211.886,-32.992,0
2024-01-03 05:00:00,179.784,212.94,-33.156,0
2024-01-03 05:15:00,179.784,212.94,-33.156,0
2024-01-03 05:30:00,183.529,217.376,-33.847,0
2024-01-03 05:45:00,187.292,221.833,-34.541,0
2024-01-03 06:00:00,191.019,226.246,-35.227,0
2024-01-03 06:15:00,197.215,233.585,-36.37,0
2024-01-03 06:30:00,193.993,229.768,-35.775,0
2024-01-03 06:45:00,192.655,228.184,-35.529,0
2024-01-03 07:00:00,197.215,233.585,-36.37,0
2024-01-03 07:15:00,197.215,233.585,-36.37,0
2024-01-03 07:30:00,197.215,233.585,-36.37,0
2024-01-03 07:45:00,195.421,232.168,-36.747,0
2024-01-03 08:00:00,191.019,226.247,-35.228,0
2024-01-03 08:15:00,192.654,228.183,-35.529,0
2024-01-03 08:30:00,192.654,228.183,-35.529,0
2024-01-03 08:45:00,178.897,211.886,-32.989,0
2024-01-03 09:00:00,151.62,179.579,-27.959,0
2024-01-03 09:15:00,138.58499999999998,164.14,-25.555,0
2024-01-03 09:30:00,0.0,0.0,0.0,0
2024-01-03 09:45:00,0.0,0.0,0.0,0
2024-01-03 10:00:00,0.0,0.0,0.0,0
2024-01-03 10:15:00,0.0,0.0,0.0,0
2024-01-03 10:30:00,0.0,0.0,0.0,0
2024-01-03 10:45:00,0.0,0.0,0.0,0
2024-01-03 11:00:00,0.0,0.0,0.0,0
2024-01-03 11:15:00,0.0,0.0,0.0,0
2024-01-03 11:30:00,0.0,0.0,0.0,0
